date,con_closing,act_closing,con_settlement,act_settlement,turnover,transaction,inventory,act_invent,con_invent
2019-08-23 00:00:00,430.9,427.1,429.0,425.5,235350.0,10013896.88,48304.0,38052.0,2438.0
2019-08-26 00:00:00,422.5,422.1,423.3,420.9,330162.0,13898272.96,47468.0,35384.0,2240.0
2019-08-27 00:00:00,421.0,421.8,424.7,423.6,229816.0,9736277.18,46480.0,32202.0,2214.0
2019-08-28 00:00:00,428.0,427.3,421.6,423.2,226534.0,9587534.22,45454.0,30512.0,1548.0
2019-08-29 00:00:00,435.9,430.4,428.4,431.2,266538.0,11493243.28,43132.0,26992.0,1516.0
2019-08-30 00:00:00,420.0,439.5,419.5,435.3,275666.0,11999120.0,48514.0,29152.0,1490.0
2019-09-02 00:00:00,431.5,431.5,433.3,433.3,265704.0,11508785.48,45500.0,25884.0,25884.0
2019-09-03 00:00:00,429.6,429.6,429.7,429.7,177942.0,7644157.42,46096.0,25176.0,25176.0
2019-09-04 00:00:00,429.9,429.9,424.1,424.1,218972.0,9282387.22,48338.0,25286.0,25286.0
2019-09-05 00:00:00,439.0,439.0,438.4,438.4,251286.0,11004731.92,47504.0,22252.0,22252.0
2019-09-06 00:00:00,443.3,443.3,446.0,446.0,267428.0,11912840.34,47778.0,19978.0,19978.0
2019-09-09 00:00:00,450.5,445.0,442.4,437.1,265358.0,11714888.36,47844.0,23344.0,17420.0
2019-09-10 00:00:00,455.9,447.2,450.0,447.6,236492.0,10615056.96,45966.0,30600.0,7962.0
2019-09-11 00:00:00,458.0,448.9,461.4,450.4,242504.0,10927887.14,46404.0,33400.0,5794.0
2019-09-12 00:00:00,446.6,436.5,451.9,442.2,300600.0,13291618.12,46086.0,34164.0,5022.0
2019-09-16 00:00:00,485.1,470.3,487.0,474.4,121280.0,5747115.22,50698.0,37252.0,4740.0
2019-09-17 00:00:00,508.7,489.9,493.2,484.1,423730.0,20501179.86,51678.0,37906.0,4438.0
2019-09-18 00:00:00,484.2,470.6,493.1,473.6,506846.0,23992288.12,55484.0,40006.0,4204.0
2019-09-19 00:00:00,475.0,458.4,477.7,463.6,311658.0,14439380.36,58136.0,41740.0,4204.0
2019-09-20 00:00:00,440.0,463.9,440.0,464.1,245332.0,11379816.1,57162.0,40156.0,4204.0
2019-09-23 00:00:00,440.0,466.5,440.0,466.3,248078.0,11565556.5,55202.0,37938.0,4204.0
2019-09-24 00:00:00,462.0,462.0,464.2,464.2,211768.0,9827921.1,50670.0,37060.0,37060.0
2019-09-25 00:00:00,452.6,452.6,458.2,458.2,240052.0,10992939.5,48528.0,33806.0,33806.0
2019-09-26 00:00:00,450.5,450.5,449.3,449.3,254378.0,11423242.9,48466.0,31920.0,31920.0
2019-09-27 00:00:00,448.5,448.5,448.4,448.4,215626.0,9662099.86,46176.0,29108.0,29108.0
2019-09-30 00:00:00,447.0,447.0,447.9,447.9,210804.0,9433608.1,42328.0,23548.0,23548.0
2019-10-08 00:00:00,440.0,440.0,437.2,437.2,57100.0,2490146.98,50518.0,26974.0,26974.0
2019-10-09 00:00:00,449.3,449.3,445.3,445.3,305972.0,13594524.22,55158.0,25848.0,25848.0
2019-10-10 00:00:00,450.4,450.4,452.4,452.4,250128.0,11288943.14,58702.0,26134.0,26134.0
2019-10-11 00:00:00,467.2,460.2,458.5,451.8,278110.0,12715415.66,64156.0,31124.0,27024.0
2019-10-14 00:00:00,474.3,466.7,471.7,464.8,275904.0,12966313.92,63604.0,35342.0,22478.0
2019-10-15 00:00:00,463.7,455.9,466.8,459.4,202236.0,9396222.82,62142.0,35558.0,20866.0
2019-10-16 00:00:00,462.2,453.1,465.4,455.7,227472.0,10524824.0,62054.0,35786.0,20112.0
2019-10-17 00:00:00,444.0,444.1,452.2,448.5,249378.0,11244394.86,61284.0,37684.0,17118.0
